OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Kamloops,AF3N,11.5,11085,2020-06-03
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15.6,24652,2020-09-09
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,16.3,10006,2020-09-09
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Campbell Lake,3N,8.4,9592,2020-09-09
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Campbell Lake,3N,11.5,22093,2020-09-23
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Beitty Resort,3N,15.4,14315,2020-09-23
PEANUT LAKE,,NE15-58-3-W5,54.017399,-114.352591,BKTR,Beitty Resort,3N,20.54,3500,2020-05-12
PEANUT LAKE,,NE15-58-3-W5,54.017399,-114.352591,RNTR,Trout Lodge/Kamloops,AF2N,21.96,7385,2020-10-01
PEANUT LAKE,,NE15-58-3-W5,54.017399,-114.352591,RNTR,Trout Lodge/Kamloops,AF2N,21.74,7615,2020-10-01
PEPPERS LAKE,,NW30-35-12-W5,52.038779,-115.705653,RNTR,Campbell Lake,3N,17,2800,2020-06-01
PEPPERS LAKE,,NW30-35-12-W5,52.038779,-115.705653,BKTR,Beitty Resort,3N,18,3400,2020-06-01
PEPPERS LAKE,,NW30-35-12-W5,52.038779,-115.705653,RNTR,Trout Lodge/Jumpers,AF3N,19.55,2200,2020-06-11
PETITE LAKE,,NW12-54-26-W5,53.655681,-117.702585,RNTR,Trout Lodge/Jumpers,AF3N,19.46,2000,2020-05-28
